"['cir_0.340.png', 34.0, 0.44800000000000001, 15.232000000000001, 1, 0]","['cir_0.370.png', 37.0, 0.50800000000000001, 18.795999999999999, 1, 0]","['cir_0.160.png', 16.0, 0.47999999999999998, 7.6799999999999997, 1, 0]"
"['sq_0.340.png', 34.0, 0.51200000000000001, 17.408000000000001, 1, 0]","['sq_0.250.png', 25.0, 0.47399999999999998, 11.85, 1, 0]","['tri_0.160.png', 16.0, 0.47999999999999998, 7.6799999999999997, 0, 0]"
"['sq_0.280.png', 28.000000000000004, 0.52000000000000002, 14.560000000000002, 1, 0]","['cir_0.100.png', 10.0, 0.53300000000000003, 5.3300000000000001, 0, 0]","['sq_0.220.png', 22.0, 0.46700000000000003, 10.274000000000001, 1, 0]"
"['cir_0.340.png', 34.0, 0.52900000000000003, 17.986000000000001, 1, 0]","['cir_0.100.png', 10.0, 0.51600000000000001, 5.1600000000000001, 1, 0]","['sq_0.190.png', 19.0, 0.54600000000000004, 10.374000000000001, 0, 0]"
"['cir_0.430.png', 43.0, 0.45900000000000002, 19.737000000000002, 0, 0]","['sq_0.340.png', 34.0, 0.51700000000000002, 17.577999999999999, 0, 0]","['tri_0.250.png', 25.0, 0.53400000000000003, 13.350000000000001, 0, 0]"
"['tri_0.130.png', 13.0, 0.49199999999999999, 6.3959999999999999, 1, 0]","['sq_0.160.png', 16.0, 0.47399999999999998, 7.5839999999999996, 0, 0]","['tri_0.400.png', 40.0, 0.497, 19.879999999999999, 1, 0]"
"['cir_0.280.png', 28.000000000000004, 0.52900000000000003, 14.812000000000003, 1, 0]","['cir_0.250.png', 25.0, 0.52900000000000003, 13.225000000000001, 1, 0]","['tri_0.190.png', 19.0, 0.55700000000000005, 10.583, 0, 0]"
"['tri_0.430.png', 43.0, 0.48999999999999999, 21.07, 0, 0]","['sq_0.100.png', 10.0, 0.49199999999999999, 4.9199999999999999, 1, 0]","['sq_0.130.png', 13.0, 0.501, 6.5129999999999999, 1, 0]"
"['sq_0.430.png', 43.0, 0.38600000000000001, 16.597999999999999, 0, 0]","['tri_0.160.png', 16.0, 0.57899999999999996, 9.2639999999999993, 1, 0]","['tri_0.430.png', 43.0, 0.39700000000000002, 17.071000000000002, 1, 0]"
"['cir_0.370.png', 37.0, 0.48499999999999999, 17.945, 1, 0]","['sq_0.220.png', 22.0, 0.48499999999999999, 10.67, 0, 0]","['cir_0.220.png', 22.0, 0.496, 10.911999999999999, 1, 0]"
"['cir_0.310.png', 31.0, 0.49199999999999999, 15.251999999999999, 0, 0]","['sq_0.220.png', 22.0, 0.49099999999999999, 10.802, 1, 0]","['sq_0.130.png', 13.0, 0.501, 6.5129999999999999, 1, 0]"
"['tri_0.370.png', 37.0, 0.497, 18.388999999999999, 1, 0]","['tri_0.190.png', 19.0, 0.48799999999999999, 9.2720000000000002, 1, 0]","['cir_0.130.png', 13.0, 0.49399999999999999, 6.4219999999999997, 0, 0]"
"['cir_0.310.png', 31.0, 0.48299999999999998, 14.972999999999999, 1, 0]","['cir_0.430.png', 43.0, 0.51400000000000001, 22.102, 1, 0]","['tri_0.310.png', 31.0, 0.48699999999999999, 15.097, 0, 0]"
"['cir_0.160.png', 16.0, 0.48199999999999998, 7.7119999999999997, 1, 0]","['tri_0.190.png', 19.0, 0.51100000000000001, 9.7089999999999996, 0, 0]","['cir_0.310.png', 31.0, 0.50900000000000001, 15.779, 1, 0]"
"['cir_0.310.png', 31.0, 0.49299999999999999, 15.282999999999999, 1, 0]","['cir_0.340.png', 34.0, 0.49199999999999999, 16.728000000000002, 1, 0]","['sq_0.370.png', 37.0, 0.51300000000000001, 18.981000000000002, 0, 0]"
"['cir_0.400.png', 40.0, 0.504, 20.16, 1, 0]","['cir_0.130.png', 13.0, 0.497, 6.4610000000000003, 1, 0]","['sq_0.430.png', 43.0, 0.49199999999999999, 21.155999999999999, 0, 0]"
"['tri_0.220.png', 22.0, 0.502, 11.044, 1, 0]","['cir_0.100.png', 10.0, 0.51700000000000002, 5.1699999999999999, 0, 0]","['tri_0.130.png', 13.0, 0.504, 6.5519999999999996, 1, 0]"
"['cir_0.160.png', 16.0, 0.48799999999999999, 7.8079999999999998, 0, 0]","['tri_0.100.png', 10.0, 0.502, 5.0199999999999996, 1, 0]","['tri_0.130.png', 13.0, 0.501, 6.5129999999999999, 1, 0]"
"['cir_0.400.png', 40.0, 0.45400000000000001, 18.16, 0, 0]","['tri_0.130.png', 13.0, 0.46700000000000003, 6.0710000000000006, 1, 0]","['tri_0.160.png', 16.0, 0.56100000000000005, 8.9760000000000009, 1, 0]","['sq_0.100.png', 10.0, 0.44400000000000001, 4.4400000000000004, 1, 0]","['sq_0.130.png', 13.0, 0.51500000000000001, 6.6950000000000003, 1, 0]","['sq_0.250.png', 25.0, 0.51100000000000001, 12.775, 1, 0]"
"['tri_0.130.png', 13.0, 0.44400000000000001, 5.7720000000000002, 1, 0]","['cir_0.400.png', 40.0, 0.54300000000000004, 21.720000000000002, 0, 0]","['sq_0.280.png', 28.000000000000004, 0.50700000000000001, 14.196000000000002, 1, 0]","['sq_0.220.png', 22.0, 0.47799999999999998, 10.516, 1, 0]","['tri_0.310.png', 31.0, 0.47699999999999998, 14.786999999999999, 1, 0]","['sq_0.250.png', 25.0, 0.54200000000000004, 13.550000000000001, 1, 0]"
"['sq_0.130.png', 13.0, 0.54300000000000004, 7.0590000000000002, 1, 0]","['cir_0.280.png', 28.000000000000004, 0.51500000000000001, 14.420000000000002, 1, 0]","['tri_0.220.png', 22.0, 0.504, 11.088000000000001, 1, 0]","['tri_0.430.png', 43.0, 0.54400000000000004, 23.392000000000003, 1, 0]","['sq_0.250.png', 25.0, 0.52500000000000002, 13.125, 1, 0]","['cir_0.340.png', 34.0, 0.49299999999999999, 16.762, 1, 0]"
"['sq_0.250.png', 25.0, 0.5, 12.5, 1, 0]","['cir_0.310.png', 31.0, 0.501, 15.531000000000001, 1, 0]","['cir_0.160.png', 16.0, 0.48799999999999999, 7.8079999999999998, 1, 0]","['cir_0.430.png', 43.0, 0.54100000000000004, 23.263000000000002, 1, 0]","['cir_0.370.png', 37.0, 0.56699999999999995, 20.978999999999999, 1, 0]","['sq_0.220.png', 22.0, 0.52000000000000002, 11.440000000000001, 1, 0]"
"['tri_0.220.png', 22.0, 0.56799999999999995, 12.495999999999999, 1, 0]","['sq_0.190.png', 19.0, 0.59499999999999997, 11.305, 1, 0]","['cir_0.340.png', 34.0, 0.505, 17.170000000000002, 1, 0]","['sq_0.430.png', 43.0, 0.45500000000000002, 19.565000000000001, 1, 0]","['cir_0.280.png', 28.000000000000004, 0.48799999999999999, 13.664000000000001, 1, 0]","['tri_0.370.png', 37.0, 0.45300000000000001, 16.760999999999999, 1, 0]"
"['cir_0.130.png', 13.0, 0.49199999999999999, 6.3959999999999999, 1, 0]","['sq_0.190.png', 19.0, 0.48299999999999998, 9.1769999999999996, 0, 0]","['cir_0.310.png', 31.0, 0.42799999999999999, 13.267999999999999, 1, 0]","['tri_0.100.png', 10.0, 0.55400000000000005, 5.5400000000000009, 1, 0]","['tri_0.160.png', 16.0, 0.42599999999999999, 6.8159999999999998, 1, 0]","['cir_0.280.png', 28.000000000000004, 0.57399999999999995, 16.071999999999999, 1, 0]"
"['sq_0.310.png', 31.0, 0.46400000000000002, 14.384, 1, 0]","['cir_0.310.png', 31.0, 0.59899999999999998, 18.568999999999999, 1, 0]","['sq_0.220.png', 22.0, 0.439, 9.6579999999999995, 1, 0]","['sq_0.400.png', 40.0, 0.52700000000000002, 21.080000000000002, 1, 0]","['tri_0.220.png', 22.0, 0.53800000000000003, 11.836, 0, 0]","['cir_0.340.png', 34.0, 0.41899999999999998, 14.245999999999999, 1, 0]"
"['cir_0.310.png', 31.0, 0.45000000000000001, 13.950000000000001, 1, 0]","['sq_0.190.png', 19.0, 0.46400000000000002, 8.8160000000000007, 1, 0]","['cir_0.250.png', 25.0, 0.46899999999999997, 11.725, 1, 0]","['sq_0.310.png', 31.0, 0.48299999999999998, 14.972999999999999, 1, 0]","['tri_0.280.png', 28.000000000000004, 0.496, 13.888000000000002, 0, 0]","['sq_0.370.png', 37.0, 0.47399999999999998, 17.538, 1, 0]"
"['sq_0.400.png', 40.0, 0.46899999999999997, 18.759999999999998, 1, 0]","['tri_0.280.png', 28.000000000000004, 0.47399999999999998, 13.272, 1, 0]","['sq_0.250.png', 25.0, 0.56699999999999995, 14.174999999999999, 1, 0]","['cir_0.190.png', 19.0, 0.42399999999999999, 8.0559999999999992, 1, 0]","['cir_0.430.png', 43.0, 0.52500000000000002, 22.574999999999999, 1, 0]","['tri_0.340.png', 34.0, 0.54100000000000004, 18.394000000000002, 1, 0]"
"['sq_0.190.png', 19.0, 0.48999999999999999, 9.3100000000000005, 1, 0]","['tri_0.280.png', 28.000000000000004, 0.496, 13.888000000000002, 1, 0]","['tri_0.370.png', 37.0, 0.51000000000000001, 18.870000000000001, 1, 0]","['cir_0.400.png', 40.0, 0.496, 19.84, 0, 0]","['sq_0.340.png', 34.0, 0.48599999999999999, 16.524000000000001, 1, 0]","['tri_0.130.png', 13.0, 0.48799999999999999, 6.3439999999999994, 1, 0]"
